,cell_paths,dot_paths,density_paths,counts
0,./Cells/174cell.png,./Dots/174dots.png,./Density/174density.png,115
1,./Cells/164cell.png,./Dots/164dots.png,./Density/164density.png,235
2,./Cells/116cell.png,./Dots/116dots.png,./Density/116density.png,193
3,./Cells/106cell.png,./Dots/106dots.png,./Density/106density.png,116
4,./Cells/033cell.png,./Dots/033dots.png,./Density/033density.png,136
5,./Cells/023cell.png,./Dots/023dots.png,./Density/023density.png,168
6,./Cells/129cell.png,./Dots/129dots.png,./Density/129density.png,190
7,./Cells/051cell.png,./Dots/051dots.png,./Density/051density.png,192
8,./Cells/139cell.png,./Dots/139dots.png,./Density/139density.png,306
9,./Cells/041cell.png,./Dots/041dots.png,./Density/041density.png,223
10,./Cells/190cell.png,./Dots/190dots.png,./Density/190density.png,273
11,./Cells/180cell.png,./Dots/180dots.png,./Density/180density.png,81
12,./Cells/077cell.png,./Dots/077dots.png,./Density/077density.png,278
13,./Cells/067cell.png,./Dots/067dots.png,./Density/067density.png,255
14,./Cells/015cell.png,./Dots/015dots.png,./Density/015density.png,155
15,./Cells/005cell.png,./Dots/005dots.png,./Density/005density.png,96
16,./Cells/130cell.png,./Dots/130dots.png,./Density/130density.png,134
17,./Cells/048cell.png,./Dots/048dots.png,./Density/048density.png,89
18,./Cells/120cell.png,./Dots/120dots.png,./Density/120density.png,92
19,./Cells/058cell.png,./Dots/058dots.png,./Density/058density.png,250
20,./Cells/189cell.png,./Dots/189dots.png,./Density/189density.png,98
21,./Cells/199cell.png,./Dots/199dots.png,./Density/199density.png,153
22,./Cells/093cell.png,./Dots/093dots.png,./Density/093density.png,231
23,./Cells/083cell.png,./Dots/083dots.png,./Density/083density.png,264
24,./Cells/152cell.png,./Dots/152dots.png,./Density/152density.png,197
25,./Cells/142cell.png,./Dots/142dots.png,./Density/142density.png,111
26,./Cells/066cell.png,./Dots/066dots.png,./Density/066density.png,186
27,./Cells/076cell.png,./Dots/076dots.png,./Density/076density.png,218
28,./Cells/004cell.png,./Dots/004dots.png,./Density/004density.png,86
29,./Cells/014cell.png,./Dots/014dots.png,./Density/014density.png,146
30,./Cells/198cell.png,./Dots/198dots.png,./Density/198density.png,79
31,./Cells/188cell.png,./Dots/188dots.png,./Density/188density.png,132
32,./Cells/059cell.png,./Dots/059dots.png,./Density/059density.png,103
33,./Cells/121cell.png,./Dots/121dots.png,./Density/121density.png,237
34,./Cells/049cell.png,./Dots/049dots.png,./Density/049density.png,159
35,./Cells/131cell.png,./Dots/131dots.png,./Density/131density.png,160
36,./Cells/143cell.png,./Dots/143dots.png,./Density/143density.png,177
37,./Cells/153cell.png,./Dots/153dots.png,./Density/153density.png,257
38,./Cells/082cell.png,./Dots/082dots.png,./Density/082density.png,187
39,./Cells/092cell.png,./Dots/092dots.png,./Density/092density.png,214
40,./Cells/165cell.png,./Dots/165dots.png,./Density/165density.png,202
41,./Cells/175cell.png,./Dots/175dots.png,./Density/175density.png,102
42,./Cells/107cell.png,./Dots/107dots.png,./Density/107density.png,156
43,./Cells/117cell.png,./Dots/117dots.png,./Density/117density.png,220
44,./Cells/022cell.png,./Dots/022dots.png,./Density/022density.png,200
45,./Cells/032cell.png,./Dots/032dots.png,./Density/032density.png,197
46,./Cells/181cell.png,./Dots/181dots.png,./Density/181density.png,86
47,./Cells/191cell.png,./Dots/191dots.png,./Density/191density.png,154
48,./Cells/040cell.png,./Dots/040dots.png,./Density/040density.png,178
49,./Cells/138cell.png,./Dots/138dots.png,./Density/138density.png,74
50,./Cells/050cell.png,./Dots/050dots.png,./Density/050density.png,206
51,./Cells/128cell.png,./Dots/128dots.png,./Density/128density.png,162
52,./Cells/016cell.png,./Dots/016dots.png,./Density/016density.png,199
53,./Cells/006cell.png,./Dots/006dots.png,./Density/006density.png,143
54,./Cells/074cell.png,./Dots/074dots.png,./Density/074density.png,314
55,./Cells/064cell.png,./Dots/064dots.png,./Density/064density.png,212
56,./Cells/029cell.png,./Dots/029dots.png,./Density/029density.png,255
57,./Cells/151cell.png,./Dots/151dots.png,./Density/151density.png,119
58,./Cells/039cell.png,./Dots/039dots.png,./Density/039density.png,228
59,./Cells/141cell.png,./Dots/141dots.png,./Density/141density.png,267
60,./Cells/090cell.png,./Dots/090dots.png,./Density/090density.png,145
61,./Cells/080cell.png,./Dots/080dots.png,./Density/080density.png,258
62,./Cells/133cell.png,./Dots/133dots.png,./Density/133density.png,92
63,./Cells/123cell.png,./Dots/123dots.png,./Density/123density.png,200
64,./Cells/115cell.png,./Dots/115dots.png,./Density/115density.png,242
65,./Cells/105cell.png,./Dots/105dots.png,./Density/105density.png,147
66,./Cells/177cell.png,./Dots/177dots.png,./Density/177density.png,146
67,./Cells/167cell.png,./Dots/167dots.png,./Density/167density.png,110
68,./Cells/193cell.png,./Dots/193dots.png,./Density/193density.png,200
69,./Cells/183cell.png,./Dots/183dots.png,./Density/183density.png,244
70,./Cells/052cell.png,./Dots/052dots.png,./Density/052density.png,162
71,./Cells/042cell.png,./Dots/042dots.png,./Density/042density.png,280
72,./Cells/030cell.png,./Dots/030dots.png,./Density/030density.png,97
73,./Cells/148cell.png,./Dots/148dots.png,./Density/148density.png,140
74,./Cells/020cell.png,./Dots/020dots.png,./Density/020density.png,183
75,./Cells/158cell.png,./Dots/158dots.png,./Density/158density.png,119
76,./Cells/089cell.png,./Dots/089dots.png,./Density/089density.png,168
77,./Cells/099cell.png,./Dots/099dots.png,./Density/099density.png,112
78,./Cells/104cell.png,./Dots/104dots.png,./Density/104density.png,102
79,./Cells/114cell.png,./Dots/114dots.png,./Density/114density.png,130
80,./Cells/166cell.png,./Dots/166dots.png,./Density/166density.png,145
81,./Cells/176cell.png,./Dots/176dots.png,./Density/176density.png,100
82,./Cells/200cell.png,./Dots/200dots.png,./Density/200density.png,124
83,./Cells/043cell.png,./Dots/043dots.png,./Density/043density.png,126
84,./Cells/053cell.png,./Dots/053dots.png,./Density/053density.png,122
85,./Cells/182cell.png,./Dots/182dots.png,./Density/182density.png,292
86,./Cells/192cell.png,./Dots/192dots.png,./Density/192density.png,128
87,./Cells/098cell.png,./Dots/098dots.png,./Density/098density.png,207
88,./Cells/088cell.png,./Dots/088dots.png,./Density/088density.png,164
89,./Cells/159cell.png,./Dots/159dots.png,./Density/159density.png,133
90,./Cells/021cell.png,./Dots/021dots.png,./Density/021density.png,158
