,cell_paths,dot_paths,density_paths,counts
0,Cells/174cell.png,Dots/174dots.png,Density/174density.jpg,115
1,Cells/164cell.png,Dots/164dots.png,Density/164density.jpg,235
2,Cells/116cell.png,Dots/116dots.png,Density/116density.jpg,193
3,Cells/106cell.png,Dots/106dots.png,Density/106density.jpg,116
4,Cells/033cell.png,Dots/033dots.png,Density/033density.jpg,136
5,Cells/023cell.png,Dots/023dots.png,Density/023density.jpg,168
6,Cells/129cell.png,Dots/129dots.png,Density/129density.jpg,190
7,Cells/051cell.png,Dots/051dots.png,Density/051density.jpg,192
8,Cells/139cell.png,Dots/139dots.png,Density/139density.jpg,306
9,Cells/041cell.png,Dots/041dots.png,Density/041density.jpg,223
10,Cells/190cell.png,Dots/190dots.png,Density/190density.jpg,273
11,Cells/180cell.png,Dots/180dots.png,Density/180density.jpg,81
12,Cells/077cell.png,Dots/077dots.png,Density/077density.jpg,278
13,Cells/067cell.png,Dots/067dots.png,Density/067density.jpg,255
14,Cells/015cell.png,Dots/015dots.png,Density/015density.jpg,155
15,Cells/005cell.png,Dots/005dots.png,Density/005density.jpg,96
16,Cells/130cell.png,Dots/130dots.png,Density/130density.jpg,134
17,Cells/048cell.png,Dots/048dots.png,Density/048density.jpg,89
18,Cells/120cell.png,Dots/120dots.png,Density/120density.jpg,92
19,Cells/058cell.png,Dots/058dots.png,Density/058density.jpg,250
20,Cells/189cell.png,Dots/189dots.png,Density/189density.jpg,98
21,Cells/199cell.png,Dots/199dots.png,Density/199density.jpg,153
22,Cells/093cell.png,Dots/093dots.png,Density/093density.jpg,231
23,Cells/083cell.png,Dots/083dots.png,Density/083density.jpg,264
24,Cells/152cell.png,Dots/152dots.png,Density/152density.jpg,197
25,Cells/142cell.png,Dots/142dots.png,Density/142density.jpg,111
26,Cells/066cell.png,Dots/066dots.png,Density/066density.jpg,186
27,Cells/076cell.png,Dots/076dots.png,Density/076density.jpg,218
28,Cells/004cell.png,Dots/004dots.png,Density/004density.jpg,86
29,Cells/014cell.png,Dots/014dots.png,Density/014density.jpg,146
30,Cells/198cell.png,Dots/198dots.png,Density/198density.jpg,79
31,Cells/188cell.png,Dots/188dots.png,Density/188density.jpg,132
32,Cells/059cell.png,Dots/059dots.png,Density/059density.jpg,103
33,Cells/121cell.png,Dots/121dots.png,Density/121density.jpg,237
34,Cells/049cell.png,Dots/049dots.png,Density/049density.jpg,159
35,Cells/131cell.png,Dots/131dots.png,Density/131density.jpg,160
36,Cells/143cell.png,Dots/143dots.png,Density/143density.jpg,177
37,Cells/153cell.png,Dots/153dots.png,Density/153density.jpg,257
38,Cells/082cell.png,Dots/082dots.png,Density/082density.jpg,187
39,Cells/092cell.png,Dots/092dots.png,Density/092density.jpg,214
40,Cells/165cell.png,Dots/165dots.png,Density/165density.jpg,202
41,Cells/175cell.png,Dots/175dots.png,Density/175density.jpg,102
42,Cells/107cell.png,Dots/107dots.png,Density/107density.jpg,156
43,Cells/117cell.png,Dots/117dots.png,Density/117density.jpg,220
44,Cells/022cell.png,Dots/022dots.png,Density/022density.jpg,200
45,Cells/032cell.png,Dots/032dots.png,Density/032density.jpg,197
46,Cells/181cell.png,Dots/181dots.png,Density/181density.jpg,86
47,Cells/191cell.png,Dots/191dots.png,Density/191density.jpg,154
